19/05/2016,"Reference: AT161410021000010079101"," 9.30","LEON MOORGATE LONDON"," Process Date 19/05/2016",
19/05/2016,"Reference: AT161410021000010097926"," 9.70","MARKS & SPENCER PLC LONDON"," Process Date 20/05/2016",
19/05/2016,"Reference: AT161410021000010074026"," 4.49","POD FOOD LONDON","Pod Food Ltd/Grace Church Stre Process Date 19/05/2016  Pod Food Ltd/Grace Church Stre",
20/05/2016,"Reference: AT161420010000010079714"," 2.95","LEON (SPITALFIELDS) LONDON"," Process Date 20/05/2016",
20/05/2016,"Reference: AT161420010000010095412"," 1.53","TESCO SELF SERVICE LONDON"," Process Date 21/05/2016",
20/05/2016,"Reference: AT161420010000010068965"," 12.77","WAITROSE CHEAM SUTTON","559 Cheam SCO Process Date 20/05/2016  559 Cheam SCO",
21/05/2016,"Reference: AT161430007000010083619"," 32.10","PIZZAEXPRESS RESTAURANT SUTTON","PizzaExpress - 3286 - Cheam Process Date 21/05/2016  PizzaExpress - 3286 - Cheam",
21/05/2016,"Reference: AT161430007000010091024"," 5.50","TESCO STORES 2259 SUTTON"," Process Date 22/05/2016",
22/05/2016,"Reference: AT161440011000010061029"," 5.75","COSTA COFFEE - CHEAM SURREY"," Process Date 22/05/2016",
22/05/2016,"Reference: AT161440011000010076943"," 4.50","DAVID LLOYD LEISURE SUTTON"," Process Date 22/05/2016",
22/05/2016,"Reference: AT161440011000010088491"," 2.50","TESCO STORES 2259 SUTTON"," Process Date 23/05/2016",
22/05/2016,"Reference: AT161440011000010068705"," 21.11","WAITROSE CHEAM SUTTON","559 Cheam Process Date 22/05/2016  559 Cheam",
23/05/2016,"Reference: AT161450014000010090178"," 5.72","TESCO SELF SERVICE LONDON"," Process Date 24/05/2016",
24/05/2016,"Reference: AT161460011000010078662"," 6.85","LEON (SPITALFIELDS) LONDON"," Process Date 24/05/2016",
24/05/2016,"Reference: AT161460088000010054463"," -1098.81","PAYMENT RECEIVED - THANK YOU"," Process Date 24/05/2016",
24/05/2016,"Reference: AT161460011000010080787"," 10.26","SNOGGYS LONDON","GOODS OR SERVICES Process Date 24/05/2016  GOODS OR SERVICES",
24/05/2016,"Reference: AT161460011000010091224"," 3.80","TESCO STORES 2097 LONDON"," Process Date 25/05/2016",
25/05/2016,"Reference: AT161470014000010086853"," 6.30","CHILANGOS LONDON","GOODS OR SERVICES Process Date 25/05/2016  GOODS OR SERVICES",
25/05/2016,"Reference: AT161480013000010065927"," 4.80","KINGS STORES LONDON"," Process Date 26/05/2016",
25/05/2016,"Reference: AT161480013000010065930"," 13.80","KINGS STORES LONDON"," Process Date 26/05/2016",
25/05/2016,"Reference: AT161470014000010096675"," 3.93","TESCO SELF SERVICE LONDON"," Process Date 26/05/2016",
25/05/2016,"Reference: AT161480013000010055961"," 16.25","WAHACA LIVERPOOL STREET LONDON"," Process Date 26/05/2016",
26/05/2016,"Reference: AT161480013000010077332"," 6.85","LEON (SPITALFIELDS) LONDON"," Process Date 26/05/2016",
26/05/2016,"Reference: AT161480013000010059178"," 8.05","SAINSBURY'S SUPERMARKET SUTTON"," Process Date 26/05/2016",
26/05/2016,"Reference: AT161480013000010079375"," 14.50","SUSHI TAMA SUTTON"," Process Date 26/05/2016",
26/05/2016,"Reference: AT161480013000010098070"," 2.93","TESCO SELF SERVICE LONDON"," Process Date 27/05/2016",
27/05/2016,"Reference: AT161480047000010004904"," 3.75","AMAZON UK MARKETPLACE 800-279-6620"," Process Date 27/05/2016",
27/05/2016,"Reference: AT161480047000010004405"," 5.99","AMAZON UK RETAIL AMAZON.CO.UK"," Process Date 27/05/2016",
27/05/2016,"Reference: AT161490008000010081568"," 25.00","DISHOOM LONDON"," Process Date 27/05/2016",
27/05/2016,"Reference: AT161490008000010077068"," 4.49","POD FOOD LONDON","Pod Food Ltd/Grace Church Stre Process Date 27/05/2016  Pod Food Ltd/Grace Church Stre",
29/05/2016,"Reference: AT161510008000010071094"," 12.00","TESCO STORES 2259 SUTTON"," Process Date 30/05/2016",
30/05/2016,"Reference: AT161510060000010004406"," 17.64","AMAZON UK MARKETPLACE 800-279-6620"," Process Date 30/05/2016",
30/05/2016,"Reference: AT161520023000010071263"," 28.10","WAITROSE CHEAM SUTTON","559 Cheam SCO Process Date 30/05/2016  559 Cheam SCO",
31/05/2016,"Reference: AT161530021000010079139"," 6.95","LEON (SPITALFIELDS) LONDON"," Process Date 31/05/2016",
